Paper,Location
Anastasiadi et al. (2020),Spain
Anderson et al. (2021),Kenya
Beal et al. (2019),United States
Bors et al. (2021),United States
Cossette et al. (2022),Canada
De Paoli-Iseppi et al. (2019),Australia
Guevara et al. (2020),United States
Horvath et al. (2021a),United States
Horvath et al. (2021b),United States
Horvath et al. (2022a),United States
Horvath et al. (2022b),United States
Horvath et al. (2022c),United States
Horvath et al. (2022d),United States
Horvath et al. (2022e),United States
Ito et al. (2018),Japan
Jasinska et al. (2022),United States
Kerepesi et al. (2022),United States
Kordowitzki et al. (2021),Poland
Larison et al. (2021b),United States
Lemaitre et al. (2022),France
Little et al. (2020),United Kingdom
Lowe et al. (2020),United Kingdom
Mayne et al. (2021b),Australia
Mayne et al. (2022),Australia
Meyer et al. (2023),Germany
Nilsen et al. (2016),United States
Parrott et al. (2014),United States
Polanowski et al. (2014),Australia
Prado et al. (2021),United States
Qi et al. (2021),Japan
Raj et al. (2021),United Kingdom
Robeck et al. (2021a),United States
Robeck et al. (2021b),United States
Robeck et al. (2023),United States
Schachtschneider et al. (2021),United States
Soulsbury et al. (2018),Finland
Sugrue et al. (2021),New Zealand
Thompson et al. (2017),United States
Wilkinson et al. (2021),United States
Wright et al. (2018),United Kingdom
Zoller et al. (2022),United States
