Paper,Bias,Cal.Bias
Angelier et al. (2013),0.0248756218905472,0.0062189054726368
Apfelbeck et al. (2019),0.0472636815920398,0.00472636815920398
Asghar et al. (2015),0.0149253731343283,0.00298507462686566
Aydinonat et al. (2014),0.017412935323383,0.002487562189054714
Baerlocher et al. (2003),0.0199004975124378,0.00398009950248756
Barrett et al. (2013),0.0124378109452736,0.00248756218905472
Bauch et al. (2014),0.0248756218905472,0.008291873963515732
Bauch et al. (2020),0.0298507462686567,0.00597014925373134
Bauch et al. (2021),0.0298507462686567,0.00597014925373134
Bauer et al. (2018),0.017412935323383,0.0029021558872304996
Beirne et al. (2014),0.0099502487562189,0.002487562189054725
Bize et al. (2009),0.0373134328358208,0.007462686567164161
Br�mmendorf et al. (2002),0.0248756218905472,0.0035536602700781714
Buddhachat et al. (2017),0.0273631840796019,0.0030403537866224334
Burraco et al. (2020),0.0124378109452736,0.00248756218905472
Cerchiara et al. (2017),0.0149253731343283,0.0024875621890547168
Cherdsukjai et al. (2020),0.0248756218905472,0.0031094527363184
Denham et al. (2019),0.0074626865671641,0.0024875621890547
Fick et al. (2012),0.0223880597014925,0.0024875621890547224
Foley et al. (2018),0.044776119402985,0.0024875621890547224
Froy et al. (2021),0.0323383084577114,0.00323383084577114
Garde et al. (2010),0.0149253731343283,0.0024875621890547168
Hatase et al. (2008),0.0199004975124378,0.002487562189054725
Haussmann et al. (2003),0.0373134328358208,0.012437810945273601
Heidinger et al. (2012),0.0273631840796019,0.00456053067993365
Horn et al. (2008),0.0099502487562189,0.002487562189054725
Ineson et al. (2020),0.0124378109452736,0.00248756218905472
Izzo (2010),0.0149253731343283,0.00298507462686566
Izzo et al. (2011),0.0049751243781094,0.0049751243781094
Juola et al. (2006),0.0422885572139303,0.010572139303482575
K�rkk�inen et al. (2019),0.0273631840796019,0.00456053067993365
K�rkk�inen et al. (2021),0.0373134328358208,0.0037313432835820804
Kirby et al. (2017),0.0099502487562189,0.0033167495854063
Lee et al. (2002),0.0099502487562189,0.002487562189054725
Leonida et al. (2020),0.0099502487562189,0.002487562189054725
Lewin et al. (2015),0.0298507462686567,0.00597014925373134
Lundsgaard et al. (2022),0.0074626865671641,0.0024875621890547
McKevitt et al. (2002),0.0199004975124378,0.00497512437810945
McKevitt et al. (2003),0.0199004975124378,0.00497512437810945
Molbert et al. (2021),0.017412935323383,0.0034825870646765997
Noguera & Velando (2021),0.0049751243781094,0.0024875621890547
Olsen et al. (2014),0.0124378109452736,0.00248756218905472
Panasiak et al. (2020),0.0074626865671641,0.0024875621890547
Parolini et al. (2015),0.0223880597014925,0.0024875621890547224
Pauli et al. (2011),0.0149253731343283,0.00298507462686566
Pauliny et al. (2006),0.017412935323383,0.0034825870646765997
Pauliny et al. (2012),0.0124378109452736,0.004145936981757866
Reichert et al. (2015),0.0323383084577114,0.005389718076285233
Roast et al. (2022),0.0298507462686567,0.004264392324093814
Salm�n et al. (2016),0.0149253731343283,0.00298507462686566
Salomons et al. (2009),0.044776119402985,0.007462686567164167
S�nchez-Montes et al. (2020),0.0149253731343283,0.0024875621890547168
Scott et al. (2006),0.0398009950248756,0.00796019900497512
Seibt et al. (2019),0.0149253731343283,0.0024875621890547168
Simide et al. (2016),0.0223880597014925,0.005597014925373125
Soler et al. (2015),0.0149253731343283,0.0024875621890547168
Stier et al. (2020),0.0373134328358208,0.005330490405117258
Sudyka et al. (2014),0.0199004975124378,0.0033167495854063
Tissier et al. (2022),0.0323383084577114,0.005389718076285233
Tricola et al. (2018),0.1119402985074626,0.004305396096440869
Ujvari & Madsen (2009),0.0074626865671641,0.00373134328358205
Ujvari et al. (2017),0.0199004975124378,0.002842928216062543
Vernasco et al. (2021),0.0323383084577114,0.005389718076285233
Viblanc et al. (2022),0.044776119402985,0.004070556309362273
Voillemot et al. (2012),0.0472636815920398,0.006751954513148543
Wilbourn et al. (2017),0.0348258706467661,0.0031659882406151
Wong (2017),0.0024875621890547,0.0024875621890547
